#------------------------------------------------------------------------------------------------------
# PROJCS axis table
#
# syntax: [PROJCS,] cs-code, axis-code
#------------------------------------------------------------------------------------------------------

PE_PCS_PULKOVO_1942_3_DEG_GK_63E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_66E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_69E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_72E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_75E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_78E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_81E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_84E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_87E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_90E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_93E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_96E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_99E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_102E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_105E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_108E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_111E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_114E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_117E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_120E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_123E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_126E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_129E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_132E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_135E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_138E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_141E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_144E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_147E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_150E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_153E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_156E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_159E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_162E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_165E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_168E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_171E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_174E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_177E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_180E, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_177W, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_174W, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_171W, NE
PE_PCS_PULKOVO_1942_3_DEG_GK_168W, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_7, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_8, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_9, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_10, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_11, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_12, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_13, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_14, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_15, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_16, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_17, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_18, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_19, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_20, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_21, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_22, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_23, NE
PE_PCS_PULKOVO_1995_3_DEG_GK_24, NE
