#------------------------------------------------------------------------------------------------------
# HVCOORDSYS description table
#
# syntax: [HVCOORDSYS,] code, "utf8-description"
#------------------------------------------------------------------------------------------------------

PE_HVC_KKJ_FINLAND_UCS_N60_HT, "Finland - onshore"
PE_HVC_NAD_1983_CSRS_UTM_14N_CGVD2013_HT, "Canada - 102~W to 96~W"
PE_HVC_NAD_1983_CSRS_UTM_15N_CGVD2013_HT, "Canada - 96~W to 90~W"
PE_HVC_NAD_1983_CSRS_UTM_16N_CGVD2013_HT, "Canada - 90~W to 84~W"
PE_HVC_NAD_1983_CSRS_UTM_17N_CGVD2013_HT, "Canada - 84~W to 78~W"
PE_HVC_NAD_1983_CSRS_UTM_18N_CGVD2013_HT, "Canada - 78~W to 72~W"
PE_HVC_NAD_1983_CSRS_UTM_19N_CGVD2013_HT, "Canada - 72~W to 66~W"
PE_HVC_NAD_1983_CSRS_UTM_20N_CGVD2013_HT, "Canada - 66~W to 60~W"
PE_HVC_NAD_1983_CSRS_UTM_21N_CGVD2013_HT, "Canada - 60~W to 54~W"
PE_HVC_NAD_1983_CSRS_UTM_22N_CGVD2013_HT, "Canada - 54~W to 48~W"
PE_HVC_JGD2000_JGD2000_VERT_HT, "Japan - onshore mainland"
PE_HVC_JGD2011_JGD2011_VERT_HT, "Japan - onshore mainland"
PE_HVC_TOKYO_JSLD72_HT, "Japan - onshore - Hokkaido"
PE_HVC_WGS_1984_WORLD_MERCATOR_EGM2008_HT, "World"
PE_HVC_SVY21_SHD_HT, "Singapore"
PE_HVC_SVY21_SINGAPORE_TM_SHD_HT, "Singapore"
PE_HVC_NTF_PARIS_AND_NGF_IGN69_HEIGHT, "France - mainland"
PE_HVC_RT90_AND_RH70_HEIGHT, "Sweden - onshore and offshore"
PE_HVC_OSGB36_BRITISH_NATIONAL_GRID_AND_ODN_HEIGHT, "United Kingdom - Great Britain - England and Wales - mainland; Scotland - mainland and Inner Hebrides"
PE_HVC_NAD27_AND_NGVD29_HEIGHT, "USA - conus"
PE_HVC_NAD27_TEXAS_NORTH_AND_NGVD29_HEIGHT, "USA - Texas north of approx 34~20'N"
PE_HVC_ETRS89_AND_EVRF2000_HEIGHT, "Europe"
PE_HVC_PSD93_AND_PHD93, "Oman - onshore"
PE_HVC_NTF_PARIS_LAMBERT_ZONE_II_AND_NGF_LALLEMAND_HEIGHT, "France - mainland"
PE_HVC_TOKYO_AND_JSLD_HEIGHT, "Japan - onshore and offshore"
PE_HVC_AMERSFOORT_RD_NEW_AND_NAP_HEIGHT, "Netherlands - onshore"
PE_HVC_ETRS89_UTM_ZONE_32N_AND_DVR90_HEIGHT, "Denmark - west of 12~E - Zealand west of 12~E; Jutland, Fuen, and Lolland"
PE_HVC_ETRS89_UTM_ZONE_33N_AND_DVR90_HEIGHT, "Denmark - east of 12~E - Zealand and Falster east of 12~E; Bornholm"
PE_HVC_ETRS90_KP2000_JUTLAND_AND_DVR90_HEIGHT, "Denmark - Jutland and Fuen"
PE_HVC_ETRS89_KP2000_ZEALAND_AND_DVR90_HEIGHT, "Denmark - Zealand and Lolland"
PE_HVC_ETRS89_KP2000_BORNHOLM_AND_DVR90_HEIGHT, "Denmark - Bornholm"
PE_HVC_NTF_PARIS_LAMBERT_ZONE_II_AND_NGF_IGN69_HEIGHT, "France - mainland"
PE_HVC_NTF_PARIS_LAMBERT_ZONE_III_AND_NGF_IGN69_HEIGHT, "France south of 50.5 grads N (45~27'N)"
PE_HVC_ETRS_1989_EVRF2007_HT, "Europe - EVRF2007"
PE_HVC_DOS_71_UTM_30S_JAMESTOWN_1971_HT, "St Helena - St Helena Island"
PE_HVC_ST_HELENA_TRITAN_UTM_30S_TRITAN_2011_HT, "St Helena - St Helena Island"
PE_HVC_SHMG2015_SHVD2015_HT, "St Helena - St Helena Island"
PE_HVC_GR96_GVR2000_HT, "Greenland - 59~N to 84~N"
PE_HVC_GR96_GVR2016_HT, "Greenland - 58~N to 85~N"
PE_HVC_ETRS_1989_BALTIC_1957_HT, "Europe - Czechoslovakia"
PE_HVC_ETRS_1989_BELGE_LAMBERT_2008_OSTEND_HT, "Belgium - onshore"
PE_HVC_NAD_1983_SPCS_AZ_E_IFT_NAVD88_HT_IFT, "USA - Arizona - SPCS - E"
PE_HVC_NAD_1983_SPCS_AZ_C_IFT_NAVD88_HT_IFT, "USA - Arizona - SPCS - C"
PE_HVC_NAD_1983_SPCS_AZ_W_IFT_NAVD88_HT_IFT, "USA - Arizona - SPCS - W"
PE_HVC_NAD_1983_SPCS_MI_N_IFT_NAVD88_HT_IFT, "USA - Michigan - SPCS - N"
PE_HVC_NAD_1983_SPCS_MI_C_IFT_NAVD88_HT_IFT, "USA - Michigan - SPCS - C"
PE_HVC_NAD_1983_SPCS_MI_S_IFT_NAVD88_HT_IFT, "USA - Michigan - SPCS - S"
PE_HVC_NAD_1983_SPCS_MT_IFT_NAVD88_HT_IFT, "USA - Montana"
PE_HVC_NAD_1983_SPCS_ND_N_IFT_NAVD88_HT_IFT, "USA - North Dakota - SPCS - N"
