#------------------------------------------------------------------------------------------------------
# PROJCS deprecated table
#
# syntax: [PROJCS,] factory-code, status
#------------------------------------------------------------------------------------------------------

PE_PCS_NAD_1983_HARN_ADJ_WI_FR_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_GT_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_IA_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_IR_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_JF_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_JN_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_KN_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_KW_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_LC_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_LN_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_MT_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_MN_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_ME_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_MW_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_OC_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_OG_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_OZ_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_PK_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_PR_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_RA_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_RK_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_RS_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_SC_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_SK_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_SH_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_SG_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_TR_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WA_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WK_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WP_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WN_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_BF_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_BN_FT, discontinued
